"Código","Concurso","Área ","Título","Director General"
"ID16I10154","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE UN PRODUCTO INDUCTOR QUE AUMENTE LA CAPTACIÓN DE SEMILLAS DE MITILIDOS","EDUARDO TARIFEÑO SILVA"
"ID16I10157","III CONCURSO IDEA EN DOS ETAPAS 2016","INFRAESTRUCTURA","EVALUACIÓN DEL POTENCIAL DE LICUACIÓN EN ZONAS DE SUBDUCCIÓN","GONZALO MONTALVA ALVARADO"
"ID16I10159","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","DESARROLLO DE MATERIALES DE ALTA DENSIDAD ENERGETICA EN BASE A LITIO PARA ALMACENAMIENTO DE ENERGIA SOLAR","SVETLANA USHAK"
"ID16I10185","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UNA FORMULACIÓN NUTRACEÚTICA DERIVADO DE UN EXTRACTO BOTÁNICO CON ACTIVIDADES NEUROPLÁ STICAS Y NEUROPROTECTORAS","FRANCISCA BRONFMAN CÁCERES"
"ID16I10186","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","EVALUACIÓN DE RECURSOS GEOLÓGICOS EN GEOMETRÍAS COMPLEJAS.","NANCY HITSCHFELD KAHLER"
"ID16I10190","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","DESARROLLO DE RECUBRIMIENTOS MULTIFUNCIONALES ANTICORROSIVOS PARA LA PROTECCION DE MATERIALES","MANUEL MELENDREZ CASTRO"
"ID15I10589","II CONCURSO IDEA EN DOS ETAPAS, DE FONDEF DE CONICYT 2015","AGROPECUARIA","CARACTERIZACIóN Y DISEñO DE NUEVOS BIOFUNGICIDAS BACTERIANOS PARA EL CONTROL DE LA PUDRICIóN GRIS DE L RACIMO EN VIDES DE MESA Y VINíFERAS, CAUSADA POR EL HONGO FITOPATóGENO BOTRYTIS CINEREA","ANTONIO CASTILLO NARA"
"ID16I10206","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","SISTEMA DE APOYO A LA TOMA DE DECISIONES PARA LA COSECHA DE FRUTAS BASADO EN INTERNET DE LAS COSAS","PATRICIO GALEAS ECHEVERRIA"
"ID16I10210","III CONCURSO IDEA EN DOS ETAPAS 2016","EDUCACION Y CIENCIAS SOCIALES","SISTEMA INTERACTIVO DE PROMOCIÓN DEL LENGUAJE Y LA COMUNICACIÓN","MARCELA DE LOURDES PEÑA GARAY"
"ID16I10214","III CONCURSO IDEA EN DOS ETAPAS 2016","MINERIA","SENSOR DE REACCIONES QUÍMICAS BASADO EN DIAMANTE","JERONIMO MAZE RIOS"
"ID16I10221","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","DESARROLLO DE BIOSENSORES OPTOELECTRONICOS Y ALGORITMOS DE CORRELACIÓN PARA CUANTIFICAR EL ESPECTRO EMITIDO POR NANOPARTÍCULAS DE ORO QUE DETECTAN LA PRESENCIA DE RESIDUOS DE ANTIBIÓTICOS EN LECHE CRU DA","SERGIO TORRES INOSTROZA"
"ID16I10222","III CONCURSO IDEA EN DOS ETAPAS 2016","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","OBSERVATORIO DIGITAL DE DELINCUENCIA EN CHILE: UN SISTEMA INTELIGENTE DE APOYO A LA INDUSTRIA AUTOMO TRIZ CHILENA, EN EL ROBO DE VEHÍCULOS Y ACCESORIOS","RICHARD WEBER HAAS"
"ID16I10223","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","PROTEOSTASER-1: UNA TERAPIA GÉNICA ENFOCADA A DISMINUIR LA NEURODEGENERACIÓN Y AUMENTAR LA FUNCIÓN C OGNITIVA EN LA ENFERMEDAD DE ALZHEIMER","CLAUDIO HETZ FLORES"
